"file","date","composition_name","temp_series","replicate","sample_ID","magnification","predict_spec","mean.dens.ml","biomass","day"
"20260212_021",2026-02-12,"CDLP","TS1",3,"CDLP_TS1_3",2.5,"P",648.9516,0.00015352463065347,1
"20260212_022",2026-02-12,"CD","TS1",1,"CD_TS1_1",2.5,"C",1055.75096,0.00010183013547438,1
"20260212_022",2026-02-12,"CD","TS1",1,"CD_TS1_1",2.5,"D",1346.0876,5.32959580323071e-05,1
"20260212_023",2026-02-12,"LPT","TS1",3,"LPT_TS1_3",2.5,"L",1303.64432,4.28585388130367e-05,1
"20260212_023",2026-02-12,"LPT","TS1",3,"LPT_TS1_3",2.5,"P",690.16464,0.00017492376353061,1
"20260212_023",2026-02-12,"LPT","TS1",3,"LPT_TS1_3",2.5,"T",839.22872,1.5191782321688e-05,1
"20260212_024",2026-02-12,"LT","TS1",1,"LT_TS1_1",2.5,"L",1365.15632,4.88685550661669e-05,1
"20260212_024",2026-02-12,"LT","TS1",1,"LT_TS1_1",2.5,"T",1982.12168,6.86560348009522e-05,1
"20260212_025",2026-02-12,"CLT","TS1",3,"CLT_TS1_3",2.5,"C",670.89088,4.68979686946764e-05,1
"20260212_025",2026-02-12,"CLT","TS1",3,"CLT_TS1_3",2.5,"L",473.84744,2.02184922947661e-05,1
"20260212_025",2026-02-12,"CLT","TS1",3,"CLT_TS1_3",2.5,"T",721.53576,2.47062953363612e-05,1
"20260212_026",2026-02-12,"CD","TS1",2,"CD_TS1_2",2.5,"C",1213.8368,0.00012845323144723,1
"20260212_026",2026-02-12,"CD","TS1",2,"CD_TS1_2",2.5,"D",1399.60304,6.52028997311493e-05,1
"20260212_027",2026-02-12,"PT","TS1",2,"PT_TS1_2",2.5,"P",1439.58584,0.00034352028930675,1
"20260212_027",2026-02-12,"PT","TS1",2,"PT_TS1_2",2.5,"T",1159.5012,1.66650562360098e-05,1
"20260212_028",2026-02-12,"CLT","TS2",1,"CLT_TS2_1",2.5,"C",1094.50352,9.08831199597093e-05,1
"20260212_028",2026-02-12,"CLT","TS2",1,"CLT_TS2_1",2.5,"L",680.7328,3.15923525604732e-05,1
"20260212_028",2026-02-12,"CLT","TS2",1,"CLT_TS2_1",2.5,"T",937.23784,3.04472028061408e-05,1
"20260212_029",2026-02-12,"CP","TS2",1,"CP_TS2_1",2.5,"C",279.26448,4.96270317500055e-05,1
"20260212_029",2026-02-12,"CP","TS2",1,"CP_TS2_1",2.5,"P",763.774,0.00015732748680844,1
"20260212_030",2026-02-12,"CDPT","TS2",1,"CDPT_TS2_1",2.5,"C",253.83952,2.48710774847311e-05,1
"20260212_030",2026-02-12,"CDPT","TS2",1,"CDPT_TS2_1",2.5,"D",987.67768,2.81502517369589e-05,1
"20260212_030",2026-02-12,"CDPT","TS2",1,"CDPT_TS2_1",2.5,"P",508.70424,0.00011496907280527,1
"20260212_030",2026-02-12,"CDPT","TS2",1,"CDPT_TS2_1",2.5,"T",462.16016,8.0504441869673e-06,1
"20260212_031",2026-02-12,"CDPT","TS2",3,"CDPT_TS2_3",2.5,"C",186.99648,2.67464991999157e-05,1
"20260212_031",2026-02-12,"CDPT","TS2",3,"CDPT_TS2_3",2.5,"D",1188.82192,4.174044407838e-05,1
"20260212_031",2026-02-12,"CDPT","TS2",3,"CDPT_TS2_3",2.5,"P",541.3056,9.68808884836757e-05,1
"20260212_031",2026-02-12,"CDPT","TS2",3,"CDPT_TS2_3",2.5,"T",552.5828,1.07222833791008e-05,1
"20260212_032",2026-02-12,"LT","TS2",3,"LT_TS2_3",2.5,"L",1517.70608,4.95703244824248e-05,1
"20260212_032",2026-02-12,"LT","TS2",3,"LT_TS2_3",2.5,"T",2009.18696,6.15561472403703e-05,1
"20260212_033",2026-02-12,"PT","TS2",3,"PT_TS2_3",2.5,"P",914.68344,0.00018959714450421,1
"20260212_033",2026-02-12,"PT","TS2",3,"PT_TS2_3",2.5,"T",1073.79448,1.69235172662831e-05,1
"20260212_034",2026-02-12,"DPT","TS2",3,"DPT_TS2_3",2.5,"D",1863.8136,5.24471222834896e-05,1
"20260212_034",2026-02-12,"DPT","TS2",3,"DPT_TS2_3",2.5,"P",746.3456,0.00015370049249511,1
"20260212_034",2026-02-12,"DPT","TS2",3,"DPT_TS2_3",2.5,"T",706.3628,1.39696138455177e-05,1
"20260212_035",2026-02-12,"PT","TS2",1,"PT_TS2_1",2.5,"P",958.562,0.00021393699743688,1
"20260212_035",2026-02-12,"PT","TS2",1,"PT_TS2_1",2.5,"T",991.57344,1.59364653358265e-05,1
"20260212_036",2026-02-12,"CDLT","TS2",3,"CDLT_TS2_3",2.5,"C",753.93208,4.86293938955308e-05,1
"20260212_036",2026-02-12,"CDLT","TS2",3,"CDLT_TS2_3",2.5,"D",1363.92608,5.09903168638125e-05,1
"20260212_036",2026-02-12,"CDLT","TS2",3,"CDLT_TS2_3",2.5,"L",368.86696,1.27166113923276e-05,1
"20260212_036",2026-02-12,"CDLT","TS2",3,"CDLT_TS2_3",2.5,"T",257.53024,1.08710581197439e-05,1
"20260212_037",2026-02-12,"CDLP","TS2",2,"CDLP_TS2_2",2.5,"C",316.58176,3.86090848850544e-05,1
"20260212_037",2026-02-12,"CDLP","TS2",2,"CDLP_TS2_2",2.5,"D",1652.00728,5.18793997618241e-05,1
"20260212_037",2026-02-12,"CDLP","TS2",2,"CDLP_TS2_2",2.5,"L",661.254,1.58053066256584e-05,1
"20260212_037",2026-02-12,"CDLP","TS2",2,"CDLP_TS2_2",2.5,"P",625.372,0.00012743440978132,1
"20260212_038",2026-02-12,"CDLT","TS2",2,"CDLT_TS2_2",2.5,"C",863.01336,7.58133257708051e-05,1
"20260212_038",2026-02-12,"CDLT","TS2",2,"CDLT_TS2_2",2.5,"D",2140.00248,8.20899982915954e-05,1
"20260212_038",2026-02-12,"CDLT","TS2",2,"CDLT_TS2_2",2.5,"L",170.1832,4.49880945648731e-06,1
"20260212_038",2026-02-12,"CDLT","TS2",2,"CDLT_TS2_2",2.5,"T",409.25984,1.26611245717032e-05,1
"20260212_039",2026-02-12,"CDPT","TS2",2,"CDPT_TS2_2",2.5,"C",468.5164,4.94386518803411e-05,1
"20260212_039",2026-02-12,"CDPT","TS2",2,"CDPT_TS2_2",2.5,"D",731.17264,3.61338701891984e-05,1
"20260212_039",2026-02-12,"CDPT","TS2",2,"CDPT_TS2_2",2.5,"P",454.57368,0.0001190221430841,1
"20260212_039",2026-02-12,"CDPT","TS2",2,"CDPT_TS2_2",2.5,"T",388.96088,8.18207079768572e-06,1
"20260212_040",2026-02-12,"CLT","TS2",3,"CLT_TS2_3",2.5,"C",641.36512,5.91179878544172e-05,1
"20260212_040",2026-02-12,"CLT","TS2",3,"CLT_TS2_3",2.5,"L",1003.46576,3.68825432006724e-05,1
"20260212_040",2026-02-12,"CLT","TS2",3,"CLT_TS2_3",2.5,"T",702.87712,1.73367441936554e-05,1
"20260212_041",2026-02-12,"PT","TS2",2,"PT_TS2_2",2.5,"P",581.49344,0.00012017130635478,1
"20260212_041",2026-02-12,"PT","TS2",2,"PT_TS2_2",2.5,"T",1667.38528,2.57136563840221e-05,1
"20260212_042",2026-02-12,"DLP","TS2",3,"DLP_TS2_3",2.5,"D",1723.15616,5.36367021791495e-05,1
"20260212_042",2026-02-12,"DLP","TS2",3,"DLP_TS2_3",2.5,"L",509.93448,1.26142870707253e-05,1
"20260212_042",2026-02-12,"DLP","TS2",3,"DLP_TS2_3",2.5,"P",337.2908,6.80744590773793e-05,1
"20260212_043",2026-02-12,"CDLP","TS2",1,"CDLP_TS2_1",2.5,"C",503.3732,5.12877432435504e-05,1
"20260212_043",2026-02-12,"CDLP","TS2",1,"CDLP_TS2_1",2.5,"D",1657.95344,5.58913965858892e-05,1
"20260212_043",2026-02-12,"CDLP","TS2",1,"CDLP_TS2_1",2.5,"L",436.53016,8.8910185620482e-06,1
"20260212_043",2026-02-12,"CDLP","TS2",1,"CDLP_TS2_1",2.5,"P",316.37672,8.15744848871193e-05,1
"20260212_044",2026-02-12,"LT","TS2",2,"LT_TS2_2",2.5,"L",1750.42648,5.93111953421267e-05,1
"20260212_044",2026-02-12,"LT","TS2",2,"LT_TS2_2",2.5,"T",1703.67736,5.92572203886351e-05,1
"20260212_045",2026-02-12,"CLT","TS2",2,"CLT_TS2_2",2.5,"C",853.17144,7.06068658062415e-05,1
"20260212_045",2026-02-12,"CLT","TS2",2,"CLT_TS2_2",2.5,"L",742.03976,2.80756765773034e-05,1
"20260212_045",2026-02-12,"CLT","TS2",2,"CLT_TS2_2",2.5,"T",572.0616,1.61672664720394e-05,1
"20260212_046",2026-02-12,"DPT","TS2",1,"DPT_TS2_1",2.5,"D",1792.0496,5.04069581747278e-05,1
"20260212_046",2026-02-12,"DPT","TS2",1,"DPT_TS2_1",2.5,"P",666.58504,0.00014787694986785,1
"20260212_046",2026-02-12,"DPT","TS2",1,"DPT_TS2_1",2.5,"T",542.12576,1.07922711006417e-05,1
"20260212_047",2026-02-12,"DLP","TS2",2,"DLP_TS2_2",2.5,"D",1526.11272,4.0909636522188e-05,1
"20260212_047",2026-02-12,"DLP","TS2",2,"DLP_TS2_2",2.5,"L",312.48096,6.48149172290703e-06,1
"20260212_047",2026-02-12,"DLP","TS2",2,"DLP_TS2_2",2.5,"P",375.01816,7.72321251818583e-05,1
"20260212_048",2026-02-12,"DPT","TS2",2,"DPT_TS2_2",2.5,"D",1691.99008,5.19487740757319e-05,1
"20260212_048",2026-02-12,"DPT","TS2",2,"DPT_TS2_2",2.5,"P",701.2368,0.00013391120229862,1
"20260212_048",2026-02-12,"DPT","TS2",2,"DPT_TS2_2",2.5,"T",665.96992,1.03986740605842e-05,1
