"","sample_ID","day","predict_spec","temperature","nutrients","composition","biomass","richness","tot_biomass","biom_contribution"
"4900","DLS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","DLS",0.004361879536706,3,0.00453441959038617,0.961948811696653
"4901","DLS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","DLS",0.00893235042768206,3,0.00903514318898843,0.988623006945629
"4902","DLS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","DLS",0.017946542713598,3,0.018052940194406,0.994106362749653
"4903","DS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","DS",0,2,0.000648024015514124,0
"4904","DS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","DS",0,2,0.000372299482516585,0
"4905","DS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","DS",0,2,0.000140243629480822,0
"4906","LS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","LS",0.033452880951131,2,0.033452880951131,1
"4907","LS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","LS",0.085583221492043,2,0.085583221492043,1
"4908","LS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","LS",0.0265407826329321,2,0.0265407826329321,1
"4909","CDLS_Tmp_22_25_Nut0.01_1",46,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4910","CDLS_Tmp_22_25_Nut0.01_2",46,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4911","CDLS_Tmp_22_25_Nut0.01_3",46,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4912","CDPS_Tmp_22_25_Nut0.01_1",46,"S","22-25 °C","0.01 g/L","CDPS",0,4,0,NA
